cnpj,DataInicial,DataFinal,diasOperacao,rentabilidade,rentabilidadeCDI
13071565000101,2011-03-28,2013-03-19,497,-24.665919656788603,19.70498761336501
13176293000104,2011-05-20,2020-05-07,2251,381.1826254091678,125.54333237523258
13294454000164,2011-06-06,2012-07-30,291,12.75008057587128,12.2022275358159
13401238000170,2011-12-29,2020-05-07,2098,120.11565151734143,110.67568756106394
13411565000103,2011-09-23,2020-05-07,2164,98.05086583083087,116.69657279986154
13455111000134,2011-11-22,2014-02-20,569,18.997249465150446,20.15413195713227
13418916000108,2011-06-21,2012-05-15,227,15.073743978861142,9.784779397457877
13454221000181,2011-10-18,2020-05-07,2148,145.92014815853057,115.15773502467025
13454232000161,2011-07-29,2020-05-07,2203,126.32904900485427,120.59091070934231
13457480000166,2011-05-04,2018-08-17,1834,118.96603476662287,106.43598912352164
13522934000135,2011-10-25,2014-08-01,696,17.623314609973463,26.590707602909337
13618310000116,2011-11-07,2012-11-05,252,6.30648548474122,9.026476298857178
13667143000101,2011-09-05,2012-05-15,174,18.38571199113932,7.143080976713145
13812187000170,2015-06-16,2020-05-07,1220,36.418236630452824,53.95556467809026
13812137000192,2011-07-29,2020-05-07,2202,-95.61842605063924,120.59091070934231
13835147000143,2011-08-08,2011-11-10,66,-45.89190239170347,2.946502819727148
13950062000106,2012-02-06,2020-05-07,2071,312.2817684443446,108.41246627825511
13958696000105,2011-09-06,2012-08-09,234,7.898134024057568,9.17242207702671
14044365000122,2011-08-17,2013-10-30,556,-82.68114908046185,20.13093863536377
14044371000180,2011-08-11,2015-12-30,1104,78.53652819157628,53.233644654620505
14052299000132,2011-08-23,2013-02-26,377,8.581741830534373,13.81557542184293
14091619000163,2012-01-19,2020-05-07,1987,3.6282512572925807,109.38880124980605
14120213000161,2011-10-24,2016-10-28,1263,90.51568341296652,67.17173047578062
14122404000162,2012-03-05,2020-05-07,2053,109.22479791048386,106.95943480649777
14122481000112,2011-12-13,2020-05-07,2110,116.85863691180343,111.71343511106424
14163501000101,2011-12-07,2015-08-19,929,2.57654602847035,41.02726292335339
14180021000140,2012-04-02,2020-05-07,2032,102.16345589628611,105.45927337274361
14298639000100,2012-02-17,2020-05-07,2062,-19.608739921214145,107.68456770319168
14416618000141,2012-02-22,2014-01-22,484,16.035408812801432,16.1350464933657
14437731000103,2015-07-06,2020-05-07,1214,48.922467361798304,52.8657984579531
14466786000141,2011-11-29,2020-05-07,2120,171.33902374986235,112.58888586159928
14487323000166,2012-04-27,2014-02-28,465,0.18349434702829015,15.417930845425332
14508500000143,2012-02-28,2016-03-14,1016,47.07356196624972,48.432826489652726
14628232000101,2011-12-07,2019-10-07,1969,114.15987984255125,106.86002008581714
14706623000199,2012-05-03,2020-05-07,2012,50.7797203072212,103.96326516268344
14707456000109,2012-06-13,2016-07-19,1032,22.78601911440765,51.556883304783895
14812724000144,2012-01-18,2012-08-23,152,18.96880767133682,5.285387672582975
14843497000114,2013-04-23,2020-05-07,1769,92.93811500680633,90.28487118519291
15097717000170,2012-03-09,2020-05-07,2049,97.35992402659068,106.64464492071785
15154472000176,2013-01-29,2018-10-18,1434,32.230804225345096,77.73175925000399
13250746000103,2011-05-23,2012-06-15,270,10.12597198984604,11.622528984719338
13255321000189,2012-10-05,2020-05-07,1903,84.82171738062776,97.26570500052756
13301564000106,2012-07-26,2018-12-14,1604,83.30257454910847,85.88574262289887
13522931000100,2011-06-10,2015-07-31,1043,17.00917399734969,47.98138281902351
13588349000138,2011-05-20,2011-09-30,94,5.635871177231211,4.314638135240867
13568033000184,2011-08-11,2014-04-04,667,-6.982106626635343,25.32763959253932
13594667000101,2011-11-03,2020-05-07,2136,108.24757831993806,114.13965665365677
13703669000191,2011-08-15,2020-05-07,2192,146.7881476383408,119.4681385160513
13902199000195,2011-12-27,2018-07-12,1644,94.11391018839015,90.73368151957312
13950115000199,2011-08-17,2011-10-18,43,-0.5704594989694667,1.9087818861515338
13969773000122,2011-12-30,2020-05-07,2097,100.14728525407102,110.58943855061116
14076687000153,2011-11-11,2017-09-08,1466,42.01502356618227,82.76317069775283
14104024000103,2012-08-23,2014-04-30,422,-32.84344770051829,14.251646016375808
14284331000105,2012-02-03,2019-11-04,1947,96.33439395893248,104.22449016561335
14332061000160,2012-01-12,2018-08-28,1661,8.194578457842683,91.34565878423706
14421899000120,2012-02-28,2020-05-07,2055,64.09856921064944,107.28083941269189
14472028000136,2011-12-30,2019-03-21,1812,73.46585733070252,98.734793848263
14507699000195,2011-12-14,2020-05-07,2106,31.806588810467495,111.62706375753287
14492346000169,2014-03-18,2020-05-07,1541,81.08025352396186,76.19039959717489
14803008000109,2012-04-23,2015-01-30,701,-7.928652444579876,27.180848069870976
14803010000170,2012-05-14,2014-01-09,419,83.60925564958914,13.446949210237547
14115142000109,2011-10-07,2017-12-21,1560,78.23282174667494,88.47930368489507
14159055000153,2013-04-15,2020-05-07,1775,78.23643645757952,90.59680680025177
14162694000178,2011-10-28,2014-04-15,620,18.96210533716367,22.677376200877998
14302838000144,2011-11-03,2017-03-21,1354,46.01626344623504,74.91081378153837
14359654000110,2012-05-03,2020-05-07,2012,107.55538829859472,103.96326516268344
14487206000100,2012-04-02,2020-05-07,2033,92.29796838826533,105.45927337274361
14491615000172,2013-04-08,2020-05-07,1780,135.90669626301465,90.85319251919705
14492363000104,2013-09-10,2014-09-12,255,17.41607793516735,10.291413215574075
14806161000181,2012-01-05,2014-03-19,554,19.49526206208092,19.375510552148278
14781350000147,2012-04-05,2020-05-07,2030,120.10611686910151,105.2371903006804
14843771000155,2016-02-24,2020-05-07,1054,44.82161779017986,40.60160639297295
14843778000177,2016-04-01,2020-05-07,1028,38.89425582819608,38.69733612748006
15019717000152,2012-04-16,2020-05-07,1929,70.97742147462891,104.79425994785277
15102069000101,2012-04-03,2020-05-07,2030,89.2778412572969,105.38529358999247
15109397000121,2012-11-09,2020-05-07,1880,101.32973370062808,96.02856668131746
15176425000123,2012-09-14,2020-05-07,1917,94.10935459771042,98.10063549523447
15164861000182,2012-05-17,2017-11-27,1390,63.58958512185424,76.73778496501751
